ticker,source,source_message_id,timestamp,raw_text,sentiment_score,label,scored_by
AAPL,stocktwits,658623238,2026-07-09T04:58:31Z,$AMD $NVDA $AAPL $BE $SOXL what the hell is this dope talking about?  Nobody is worried,,,
AAPL,stocktwits,658623082,2026-07-09T04:49:45Z,Generated by $GOOG Gemini: $MSFT and $AAPL,,,
AAPL,stocktwits,658623069,2026-07-09T04:48:59Z,"$QQQ $SPY $NVDA $AAPL AMZN GOOGL TSLA MSFT 
 
0/1DTE&#39;s 
 
🙃",,,
AAPL,stocktwits,658622175,2026-07-09T04:00:15Z,$AAPL 290 eow,,,
AAPL,stocktwits,658621671,2026-07-09T03:40:23Z,$AAPL with perfect bounce from that golden fib support now back up with a big reversal looking to test new all time highs once again.,,,
AAPL,stocktwits,658620391,2026-07-09T02:58:15Z,"What&#39;s up with $AAPL today?

Options tape is buzzing

Over the last week, heavy buying on those Dec 2026 $330 calls, $15M in a golden sweep

That&#39;s some serious long-term conviction from the big players

But today, things got tricky with that EU antitrust loss

Intraday, we&#39;re seeing a lean towards short-dated puts

Near-term feels headline-driven and a bit uncertain

Long-term bulls are still quietly stacking up

Keep an eye on the noise but don&#39;t lose sight of the bigger picture",,,
AAPL,stocktwits,658620184,2026-07-09T02:52:26Z,"$AAPL Looking back at the last time AAPL traded around these levels, it consolidated here for about five days before the breakdown. We’ll see if history decides to repeat itself heading into Friday and Monday. No telling right now, but that 307 pullback then rip was annoying for my puts haha

Congrats to the everyone lomg AAPL right now",-1.0,bearish,stocktwits_label
AAPL,stocktwits,658620156,2026-07-09T02:51:42Z,$AVGO $AAPL Apple is going to pay our bills until 2031.,1.0,bullish,stocktwits_label
AAPL,stocktwits,658618815,2026-07-09T02:13:04Z,"Apple announced that its expanded semiconductor agreement with Broadcom is expected to exceed $30 billion through 2031, reinforcing its commitment to invest $600 billion in the U.S. The partnership will support the production of more than 15 billion chips in the United States and includes $1.5 billion to modernize Broadcom&#39;s manufacturing facility in Fort Collins, Colorado, where advanced radio-frequency components for wireless chips will be produced. 
The announcement provides new financial details on the supply agreement Broadcom disclosed earlier this week. Broadcom shares climbed as much as 5% following the news. The company has long supplied Apple with wireless connectivity chips and, despite Apple&#39;s shift toward designing some of its own components, Broadcom continues to provide key communications technologies. It is also developing chip technology expected to power Apple&#39;s first dedicated AI server, slated for launch next year. 
$AAPL $AVGO",,,
AAPL,stocktwits,658618777,2026-07-09T02:11:51Z,"U.S. stock index futures were little changed Wednesday night after a mostly lower Wall Street session, as investors weighed escalating tensions between the U.S. and Iran that threatened to derail a temporary peace agreement. S&amp;P 500 futures were flat, Nasdaq 100 futures rose 0.2%, and Dow futures were largely unchanged. 
Earlier, the Dow fell 1.1%, the S&amp;P 500 slipped 0.3%, while the Nasdaq gained 0.2%, supported by strength in semiconductor stocks. Investor sentiment weakened after President Donald Trump said the ceasefire with Iran was effectively over, followed by reports of new U.S. strikes on Iranian targets and warnings of retaliation from Tehran. 
The renewed conflict pushed oil prices sharply higher, raising concerns about disruptions to shipping through the Strait of Hormuz and adding to inflation worries. Meanwhile, technology stocks outperformed, with Broadcom rallying after announcing a major chip supply agreement with Apple, while Nvidia also advanced 
 $AVGO $AAPL $NVDA  $IWM",,,
AAPL,stocktwits,658618298,2026-07-09T01:59:19Z,$SPY $TSLA $MU $AAPL $NVDA,,,
AAPL,stocktwits,658618218,2026-07-09T01:57:28Z,"&quot;China’s consumer prices grew slower than expected in June, while wholesale inflation accelerated, as elevated energy costs continued to sap domestic demand.&quot;

$SPY $TSLA $MU $AAPL $NVDA",,,
AAPL,stocktwits,658618159,2026-07-09T01:56:21Z,"$AAPL The entities that run this world do not want a world war 3. It is in their best interest to preserve global infrastructure. Rather, they would take measures to reduce the population by other means. The main weapon is making it too expensive to have children.",1.0,bullish,stocktwits_label
AAPL,stocktwits,658618012,2026-07-09T01:52:14Z,"$AAPL trades more smoothly now and is a more manly company, now that an  effeminate homosexual is no longer in charge..",1.0,bullish,stocktwits_label
AAPL,stocktwits,658617868,2026-07-09T01:48:46Z,"$AAPL $AMD $BE $NVDA $SOXL 
If you’re so worried about WW3, why you so hung up on the price of some semiconductors? Shouldn’t you be making some preparations for our impending doom?",1.0,bullish,stocktwits_label
AAPL,stocktwits,658617719,2026-07-09T01:44:48Z,"$AAPL I like Apple and most its products, but I’m unsure of why its reached this price",,,
AAPL,stocktwits,658617691,2026-07-09T01:43:55Z,$AAPL  I changed my mind. I want socialism we will take our chances.! Right??,,,
AAPL,stocktwits,658617448,2026-07-09T01:38:26Z,"$HPQ is underperforming the market by quite a lot... 
 
But take a look at their key KPI&#39;s, which are still doing fine 
 
Worth a look 
 
$HPE $AAPL $LOGI $SMCI",,,
AAPL,stocktwits,658616959,2026-07-09T01:27:20Z,"$AAPL a complete and utter embarrassment, but this country has been turned into from the mainstream media the Democrat party is a disgrace to humanity in the USA.",,,
AAPL,stocktwits,658616903,2026-07-09T01:26:18Z,$AAPL What you give is what you get,,,
