ticker,source,source_message_id,timestamp,raw_text,sentiment_score,label,scored_by
PLTR,stocktwits,658794011,2026-07-10T19:17:47Z,"$PLTR  I&#39;ve been here a long time, a very long time, and you don&#39;t see the fallacy in his point either? feck you guys are stupid.",,,
PLTR,stocktwits,658793884,2026-07-10T19:16:37Z,$PLTR descending bull wedge actually. Multiple bounces off of that $126 resistance,1.0,bullish,stocktwits_label
PLTR,stocktwits,658793760,2026-07-10T19:15:22Z,"$PLTR chart is clean. Jan/Feb ’22 bull div failed into the May flush, then set up a strong bear div — one of the better trading structures. Sep ’23 showed another 1D bull div, bounce was shortable until the Oct 30 candle invalidated the short setup and flipped the read long.",,,
PLTR,stocktwits,658793680,2026-07-10T19:14:33Z,"$PLTR $SPY 2024-2025 EPS TRIPLED!!! 
 
We just replaced $MSFT on the $DELL ENTERPRISE STACK!!! 
$NVDA on the CHIPS!!!",,,
PLTR,stocktwits,658793607,2026-07-10T19:13:50Z,"$PLTR    So I&#39;m clueless? Can you or can you not see the fallacy in your statment, or can ANYONE on this useless site, and listen there must be someone with a brain here?",,,
PLTR,stocktwits,658793420,2026-07-10T19:12:00Z,$PLTR 2023-2024 EPS DOUBLED!!,,,
PLTR,stocktwits,658792965,2026-07-10T19:07:31Z,$PLTR  this is a load of sheet   hahaha you fell for BS,,,
PLTR,stocktwits,658792359,2026-07-10T19:02:04Z,$PLTR why did they do a poll for SK HYNIX and put it on the PLTR board?!🤷 I didn’t and am not going to buy any although I accidentally answered the poll. An unproven IPO gets favored over PLTR it seems!🖕,1.0,bullish,stocktwits_label
PLTR,stocktwits,658792331,2026-07-10T19:01:46Z,$PLTR bearish engulfing 🚨 ??,,,
PLTR,stocktwits,658791913,2026-07-10T18:57:55Z,"Over the past few weeks, I made some major portfolio adjustments: 
 
Sold: 
 
$HIMS around $33-$38 
$PLTR around $130 (while keeping exposure through LEAPS and calls) 
$META around $610-$625 (still holding significant LEAPS) 
 
Freed up over $600K and used most of it to buy the recent dip in AI names: 
 
$QCOM 
$NOK  
... 
 
My thesis is simple: 
 
If I’m right: 
 
Hyperscalers continue increasing AI infrastructure capex. 
The AI trade comes back, and capital rotates into beaten-down AI names. 
 
At that point, I would likely trim some AI exposure and rotate into other opportunities. 
 
The biggest risk is hyperscalers slowing AI spending, but current market signals still point toward continued investment. 
 
There is no excess compute — there is a shortage of compute. AI deals continue across the industry. 
 
The AI buildout is likely still in its early stages. The focus remains on capex trends, compute demand, and long-term fundamentals. 
 
Next alert dropping soon!",,,
PLTR,stocktwits,658791820,2026-07-10T18:56:52Z,"$PLTR $1.625 BILLION from from REVENUE LAST QUARTER!!! 
CLOSE TO PURE PROFIT!!! 
 
https://stkt.co/p7a4D5gz",,,
PLTR,stocktwits,658791648,2026-07-10T18:55:07Z,$PLTR easy 200,,,
PLTR,stocktwits,658791622,2026-07-10T18:54:57Z,"$PLTR what’s all the fuss about, Burry lightened his short position!!

Get ready, when this thing gets hot again it’ll print!  It’s starting throttle a little…Best wishes to all &amp; Jesus is King 👑",1.0,bullish,stocktwits_label
PLTR,stocktwits,658791571,2026-07-10T18:54:32Z,"$PLTR all these shorters and Burry following assholes have NO CLUE!!  Anthropic is raping all enterprise software companies and PLTR is the only platform that is protecting and empowering enterprise users, case in point is the latest PLTR+NVDA deal with NemoClaw...wake up people!!",,,
PLTR,stocktwits,658791288,2026-07-10T18:51:53Z,"🚨 Unusual Options Activity: $PLTR 🚨 
 
🐋 A large buyer stepped in on the Aug. 7 $131 Calls: 
 
💰 ~2,060 contracts 
💵 ~$1.46M premium 
📈 Average fill: $7.07 
🎯 ~4% OTM with 28 DTE 
 
This is a sizable bullish bet giving Palantir nearly a month to continue its upside move. Definitely a flow worth watching.",,,
PLTR,stocktwits,658791255,2026-07-10T18:51:40Z,$PLTR adding some more now.,1.0,bullish,stocktwits_label
TSLA,stocktwits,658798386,2026-07-10T19:57:54Z,$TSLA,,,
TSLA,stocktwits,658797986,2026-07-10T19:54:59Z,$TSLA let’s see if we open at 400 🫡,,,
TSLA,stocktwits,658797928,2026-07-10T19:54:36Z,$TSLA yall ready for the gap down on Monday?,,,
TSLA,stocktwits,658797927,2026-07-10T19:54:35Z,$TSLA comon close red you pos,-1.0,bearish,stocktwits_label
TSLA,stocktwits,658797917,2026-07-10T19:54:32Z,$TSLA wow what absolute BS!!!,,,
TSLA,stocktwits,658797810,2026-07-10T19:53:31Z,$TSLA run away,,,
